material_key,source_id,source_type,source_url,accessed_at,applicability,review_status,reviewed_by,notes
PANCHROMA_PLA,SRC_PANCHROMA_PLA_WIKI,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/panchroma-tm/panchroma-tm-pla,2026-07-17,Standard formula; special effects may differ,approved,PolyPilot source review,Print settings and FAQ
POLYMAKER_PLA_PRO,SRC_PLA_PRO,official_product_and_tds,https://polymaker.com/product/polymaker-pla-pro/,2026-07-17,Current PLA-Pro formula,approved,PolyPilot source review,Characteristics and linked TDS
POLYMAKER_HT_PLA,SRC_HT_PLA,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/prime-materials/functional-pla/ht-pla,2026-07-17,Heat stability is without load,approved,PolyPilot source review,Print settings and heat-stability caveat
POLYMAKER_PETG,SRC_POLYMAKER_PETG,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/prime-materials/petg/polymaker-tm-petg-new,2026-07-17,New high-speed formula,approved,PolyPilot source review,Print settings and outdoor FAQ
FIBERON_PET_CF17,SRC_PET_CF17,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/fiberon-tm/fiberon-tm-pet-cf17,2026-07-17,Annealing changes heat performance,approved,PolyPilot source review,Requirements and FAQ
POLYMAKER_ASA,SRC_ASA,official_tds_wiki,https://wiki.polymaker.com/polymaker-products/more-about-our-products/documents/technical-data-sheets/abs-asa/polylite-tm-asa,2026-07-17,PolyLite ASA renamed Polymaker ASA,approved,PolyPilot source review,Thermal and print conditions
POLYFLEX_TPU95,SRC_TPU95,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/prime-materials/flexible-tpu/polyflex-tm-tpu95,2026-07-17,95A TPU,approved,PolyPilot source review,Print settings and tips
POLYFLEX_TPU95_HF,SRC_TPU95_HF,official_tds_wiki,https://wiki.polymaker.com/polymaker-products/more-about-our-products/documents/technical-data-sheets/tpu/polyflex-tm-tpu95-hf,2026-07-17,High-flow 95A TPU,approved,PolyPilot source review,Recommended print conditions
POLYMIDE_COPA,SRC_COPA,official_tds_wiki,https://wiki.polymaker.com/polymaker-products/more-about-our-products/documents/technical-data-sheets/nylon/polymide-tm-copa,2026-07-17,Conditioning changes properties,approved,PolyPilot source review,Thermal and print conditions
FIBERON_PA6_CF20,SRC_PA6_CF20,official_wiki,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/fiberon-tm/fiberon-tm-pa6-cf20,2026-07-17,Annealed and moisture-conditioned specimens,approved,PolyPilot source review,Requirements and heat statement
POLYMAX_PC,SRC_POLYMAX_PC,official_tds_wiki,https://wiki.polymaker.com/polymaker-products/more-about-our-products/documents/technical-data-sheets/polycarbonate/polymax-tm-pc,2026-07-17,0.4 mm reference conditions,approved,PolyPilot source review,Thermal and print conditions
POLYSMOOTH_PVB,SRC_POLYSMOOTH,official_tds_wiki,https://wiki.polymaker.com/polymaker-products/more-about-our-products/documents/technical-data-sheets/specialty-and-support-materials/polysmooth-tm,2026-07-17,PVB formula and controlled smoothing,approved,PolyPilot source review,Thermal and print conditions
